"","ZIP","MEDIAN_ACREAGE","MEDIAN_HOUSEHOLD_INCOME"
"1","85701",0.83,44777
"2","85705",2.8,32150
"3","85706",5.73,42081
"5","85708",80.09,60625
"6","85710",4.33,48583
"7","85711",3.26,45984
"8","85712",3.22,39800
"9","85713",4.38,43794
"10","85714",3.895,42267
"11","85715",1.74,75681
"12","85716",3.59,43907
"13","85719",0.8,35985
"14","85730",7.69,55295
"15","85745",2.91,58396
"16","85746",3.2,59097
"17","85747",37.17,98682
"18","85748",12.14,84345
"19","85749",75.89,99715
"20","85756",5.72,58885
