"","Panel_ID","A","B","C","score"
"1",1,"-","-","-",11
"2",1,"+","-","-",15
"3",1,"-","+","-",9
"4",1,"+","+","-",16
"5",1,"-","-","+",10
"6",1,"+","-","+",12
"7",1,"-","+","+",10
"8",1,"+","+","+",15
"9",2,"-","-","-",9
"10",2,"+","-","-",10
"11",2,"-","+","-",12
"12",2,"+","+","-",17
"13",2,"-","-","+",11
"14",2,"+","-","+",13
"15",2,"-","+","+",12
"16",2,"+","+","+",12
"17",3,"-","-","-",10
"18",3,"+","-","-",16
"19",3,"-","+","-",11
"20",3,"+","+","-",15
"21",3,"-","-","+",15
"22",3,"+","-","+",14
"23",3,"-","+","+",13
"24",3,"+","+","+",15
"25",4,"-","-","-",10
"26",4,"+","-","-",14
"27",4,"-","+","-",11
"28",4,"+","+","-",12
"29",4,"-","-","+",8
"30",4,"+","-","+",13
"31",4,"-","+","+",10
"32",4,"+","+","+",13
"33",5,"-","-","-",11
"34",5,"+","-","-",12
"35",5,"-","+","-",11
"36",5,"+","+","-",13
"37",5,"-","-","+",6
"38",5,"+","-","+",9
"39",5,"-","+","+",7
"40",5,"+","+","+",12
"41",6,"-","-","-",10
"42",6,"+","-","-",9
"43",6,"-","+","-",11
"44",6,"+","+","-",13
"45",6,"-","-","+",8
"46",6,"+","-","+",13
"47",6,"-","+","+",7
"48",6,"+","+","+",12
"49",7,"-","-","-",8
"50",7,"+","-","-",6
"51",7,"-","+","-",11
"52",7,"+","+","-",11
"53",7,"-","-","+",9
"54",7,"+","-","+",14
"55",7,"-","+","+",17
"56",7,"+","+","+",9
"57",8,"-","-","-",9
"58",8,"+","-","-",15
"59",8,"-","+","-",12
"60",8,"+","+","-",11
"61",8,"-","-","+",14
"62",8,"+","-","+",9
"63",8,"-","+","+",13
"64",8,"+","+","+",14
